Country Name,Country Code,Series Name,Series Code,Year,Value
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,1435.6956837889963
Iraq,IRQ,"Population, total",SP.POP.TOTL,2001,25197840.0
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,5.305821335142994
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,28282.40988207296
Ireland,IRL,"Population, total",SP.POP.TOTL,2001,3866243.0
Isle of Man,IMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,5.39999903126116
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,21819.71238256062
Isle of Man,IMN,"Population, total",SP.POP.TOTL,2001,76476.0
Israel,ISR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,0.2779273265273332
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,20966.305266797062
Israel,ISR,Gini index,SI.POV.GINI,2001,38.9
Israel,ISR,"Population, total",SP.POP.TOTL,2001,6439000.0
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,2.006433298377331
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,20570.438591786176
Italy,ITA,"Population, total",SP.POP.TOTL,2001,56976981.0
Jamaica,JAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,1.3449295661513503
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,3503.550266888578
Jamaica,JAM,"Population, total",SP.POP.TOTL,2001,2624403.0
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,0.38610342614202864
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,34406.18246380916
Japan,JPN,"Population, total",SP.POP.TOTL,2001,127149000.0
Jordan,JOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,5.269957575135706
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,1632.2945401056288
Jordan,JOR,"Population, total",SP.POP.TOTL,2001,5498894.0
Kazakhstan,KAZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,13.499999998435783
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,1422.2733181095696
Kazakhstan,KAZ,Gini index,SI.POV.GINI,2001,36.0
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,2001,15575550.0
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,3.7799064979534336
